,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4160,0.7412,0.6598,,1.3198
1,,1,1.2510,0.8096,0.7973,,2.6337
2,,2,1.1729,0.8486,0.8361,,3.9466
3,,3,1.1152,0.8721,0.8307,,5.2143
4,,4,1.1182,0.8730,0.8310,,6.4815
5,,5,1.1035,0.8799,0.8356,,7.7487
6,,6,1.0820,0.8926,0.8490,,9.0167
7,,7,1.0908,0.8906,0.8405,,10.2839
8,,8,1.1016,0.8760,0.8496,,11.5513
9,,9,1.1133,0.8779,0.8250,,12.8190
10,,10,1.0908,0.8691,0.8564,,14.0861
11,,11,1.0850,0.8896,0.8584,,15.3541
12,,12,1.0654,0.8965,0.8576,,16.6214
13,,13,1.0488,0.9092,0.8675,,17.8891
14,,14,1.0361,0.9160,0.8853,,19.1567
15,,15,1.0449,0.8994,0.8591,,20.4241
16,,16,1.0049,0.9287,0.8666,,21.6920
17,,17,1.0439,0.9062,0.8501,,22.9597
18,,18,1.0010,0.9248,0.8986,,24.2270
19,,19,1.0234,0.9170,0.8751,,25.4950
20,,20,0.9883,0.9385,0.8529,,26.7623
21,,21,0.9761,0.9414,0.8928,,28.0300
22,,22,0.9863,0.9385,0.8974,,29.2977
23,,23,0.9600,0.9551,0.9029,,30.5655
24,,24,0.9790,0.9355,0.9094,,31.8329
25,,25,0.9570,0.9600,0.9136,,33.1006
26,,26,0.9351,0.9668,0.9063,,34.3680
27,,27,0.9458,0.9570,0.9093,,35.6362
28,,28,0.8984,0.9883,0.9222,,36.9037
29,,29,0.9087,0.9814,0.9290,,38.1714
30,,30,0.8896,0.9961,0.9308,,39.4388
31,,31,0.8745,1.0000,0.9372,,40.7063
32,,32,0.8813,0.9971,0.9412,,41.9738
33,,33,0.8726,1.0000,0.9450,,43.2414
34,,34,0.8721,1.0000,0.9487,,44.5087
35,,35,0.8701,1.0000,0.9483,,45.7763
36,,36,0.8706,1.0000,0.9501,,47.0440
37,,eval,0.8706,1.0000,0.9501,0.9544,47.5654
