,run   ,epoch,train_loss,train_acc,val_acc,tta_val_acc,total_time_seconds
0,0,0,1.4473,0.7002,0.6704,,16.3220
1,,1,1.2480,0.8252,0.7683,,17.6308
2,,2,1.1631,0.8604,0.7834,,18.9390
3,,3,1.1250,0.8730,0.8002,,20.2019
4,,4,1.1260,0.8750,0.8509,,21.4639
5,,5,1.1260,0.8760,0.8273,,22.7260
6,,6,1.1182,0.8691,0.8404,,23.9871
7,,7,1.1025,0.8799,0.7737,,25.2484
8,,8,1.0840,0.8906,0.8504,,26.5098
9,,9,1.0762,0.8984,0.8086,,27.7759
10,,10,1.0938,0.8867,0.8382,,29.0412
11,,11,1.0732,0.8984,0.8496,,30.3073
12,,12,1.0566,0.9092,0.8416,,31.5725
13,,13,1.0693,0.9023,0.8411,,32.8393
14,,14,1.0781,0.8945,0.8658,,34.1046
15,,15,1.0586,0.9102,0.8652,,35.3701
16,,16,1.0166,0.9238,0.8859,,36.6355
17,,17,1.0371,0.9219,0.8677,,37.9009
18,,18,1.0127,0.9258,0.8894,,39.1661
19,,19,1.0430,0.9180,0.8854,,40.4318
20,,20,0.9922,0.9395,0.8621,,41.6965
21,,21,1.0088,0.9277,0.9042,,42.9623
22,,22,0.9800,0.9473,0.8949,,44.2274
23,,23,0.9722,0.9512,0.9072,,45.4939
24,,24,0.9639,0.9561,0.9061,,46.7593
25,,25,0.9536,0.9580,0.9027,,48.0247
26,,26,0.9277,0.9736,0.9149,,49.2899
27,,27,0.9292,0.9707,0.9176,,50.5556
28,,28,0.9106,0.9824,0.9158,,51.8207
29,,29,0.9185,0.9824,0.9269,,53.0869
30,,30,0.8950,0.9893,0.9323,,54.3520
31,,31,0.8818,0.9961,0.9406,,55.6177
32,,32,0.8794,0.9980,0.9372,,56.8830
33,,33,0.8770,0.9980,0.9444,,58.1487
34,,34,0.8711,0.9990,0.9465,,59.4142
35,,35,0.8711,0.9990,0.9473,,60.6798
36,,36,0.8691,1.0000,0.9462,,61.9452
37,,eval,0.8691,1.0000,0.9462,0.9536,62.4639
