index,label,prediction_set,set_size,uncertainty_score,correct
0,2,[2],1,1.0,True
1,4,[4],1,1.0,True
2,6,[6],1,1.0,True
3,8,[8],1,1.0,True
4,1,[1],1,1.0,True
5,5,[5],1,1.0,True
6,3,[3],1,1.0,True
7,9,[9],1,1.0,True
8,8,[8],1,1.0,True
9,8,[8],1,1.0,True
10,7,[7],1,1.0,True
11,4,[4],1,1.0,True
12,7,[7],1,1.0,True
13,4,[4],1,1.0,True
14,0,[0],1,1.0,True
15,4,[4],1,1.0,True
16,6,[3],1,1.0,False
17,7,[7],1,1.0,True
18,7,[7],1,1.0,True
19,7,[7],1,1.0,True
20,1,[1],1,1.0,True
21,6,[6],1,1.0,True
22,4,[4],1,1.0,True
23,3,[],0,0.0,False
24,7,[7],1,1.0,True
25,8,[8],1,1.0,True
26,0,[0],1,1.0,True
27,4,[4],1,1.0,True
28,1,[1],1,1.0,True
29,5,[5],1,1.0,True
30,3,[3],1,1.0,True
31,3,[],0,0.0,False
32,8,[8],1,1.0,True
33,5,[5],1,1.0,True
34,4,[4],1,1.0,True
35,9,[9],1,1.0,True
36,5,[5],1,1.0,True
37,5,[5],1,1.0,True
38,9,[1],1,1.0,False
39,9,[9],1,1.0,True
40,1,[1],1,1.0,True
41,7,[7],1,1.0,True
42,9,[9],1,1.0,True
43,0,[0],1,1.0,True
44,3,[3],1,1.0,True
45,6,[6],1,1.0,True
46,5,[3],1,1.0,False
47,7,[7],1,1.0,True
48,1,[1],1,1.0,True
49,8,[8],1,1.0,True
50,0,[0],1,1.0,True
51,9,[],0,0.0,False
52,6,[6],1,1.0,True
53,2,[2],1,1.0,True
54,6,[6],1,1.0,True
55,5,[5],1,1.0,True
56,5,[3],1,1.0,False
57,6,[6],1,1.0,True
58,5,[5],1,1.0,True
59,1,[1],1,1.0,True
60,2,[4],1,1.0,False
61,8,[],0,0.0,False
62,2,[2],1,1.0,True
63,1,[1],1,1.0,True
64,4,[4],1,1.0,True
65,3,[3],1,1.0,True
66,1,[1],1,1.0,True
67,9,[9],1,1.0,True
68,0,[0],1,1.0,True
69,8,[8],1,1.0,True
70,3,[5],1,1.0,False
71,7,[7],1,1.0,True
72,2,[2],1,1.0,True
73,8,[8],1,1.0,True
74,5,[3],1,1.0,False
75,5,[5],1,1.0,True
76,7,[7],1,1.0,True
77,0,[],0,0.0,False
78,4,[],0,0.0,False
79,5,[5],1,1.0,True
80,9,[],0,0.0,False
